јвтомобиль;√од ;1-3лет ;4-5лет ;6-7лет ;8-9лет ;10-11лет ;
AlfaRomeo145 1994-1999;2006;;;25;;;
AlfaRomeo146 1994-2001;2006;;;25;;;
AlfaRomeo147 2000-2004;2006;;11.6;;;;
AlfaRomeo156 1997-2002;2006;;;19.9;;;
AlfaRomeo156 2003-2005;2006;9.4;;;;;
Audi80V 1991-1995;2006;;;;;28.9;
AudiA2 2000-2005;2006;4.7;4.9;;;;
AudiA3 1996-2003;2006;;8.8;12.4;16.6;;
AudiA3 2003-2005;2006;5.3;;;;;
AudiA4 1995-2000;2006;;;19.8;25.2;;
AudiA4 2000-2004;2006;4.5;10.5;19.8;;;
AudiA4 2004-2008;2006;4.5;;;;;
AudiA6 1994-1997;2006;;;;22.7;26.9;
AudiA6 1997-2004;2006;;12.5;18.3;22.7;;
AudiA6 2004-;2006;6.9;;;;;
AudiA8 1994-2002;2006;;11.4;19.3;19.4;;
AudiA8 2002-2005;2006;6.8;11.4;;;;
AudiA8 2005-;2006;6.8;;;;;
AudiTT 1998-2006;2006;5.4;8.2;;;;
BMW3сери€ 1990-1998;2006;;;;27.7;31.8;
BMW3сери€ 1998-2005;2006;7.1;14.8;21.3;;;
BMW3сери€ 2005-;2006;7.1;;;;;
BMW5сери€ 1995-2003;2006;;11.3;17.4;22.9;23.5;
BMW5сери€ 2003-2005;2006;7.4;;;;;
BMW5сери€ 2005-2007;2006;7.4;;;;;
BMW7сери€ 1994-2001;2006;;;14.1;20.7;25.4;
BMW7сери€ 2001-2005;2006;4.7;12.9;;;;
BMW7сери€ 2005-;2006;4.7;;;;;
BMWZ3 1995-2002;2006;;12;11.2;14;;
ChryslerPTCruiser 2000-2006;2006;10.9;;;;;
Chrysler Voyager 2004-;2006;11;;;;;
Chrysler VoyagerII 1995-2000;2006;;;26.9;31.5;;
Chrysler VoyagerIV 2001-2004;2006;11;27.3;;;;
CitroenBerlingo 1997-2002;2006;;13.2;24.6;;;
CitroenBerlingo 2002-2008;2006;5.7;13.2;;;;
CitroenC5 2004-2008;2006;7;;;;;
CitroenSaxo 1996-2004;2006;;17.1;21.4;23;;
Citroen Xantia 1993-1998;2006;;;;23;;
CitroenXantia 1998-2001;2006;;;21.4;23;;
CitroenXsara 1997-2004;2006;5.9;;17.2;;;
CitroenZX 1991-1997;2006;;;;;38.1;
FiatBravo 1995-2001;2006;;14.8;20.7;25;;
FiatCinquecento 1991-1998;2006;;;;29.8;29.8;
FiatMarea 1996-2002;2006;;14.4;23;28.7;;
FiatPunto 2003-;2006;8.2;;;;;
FiatPuntoI 1993-1999;2006;;;20.5;28.1;35;
FiatPuntoII 1999-2003;2006;8.2;11.5;20.5;;;
FiatSeicento 1998-2001;2006;;16.1;20.7;;;
Fiat Stilo 2001-2006;2006;8.7;;;;;
FordEscortVII 1995-2002;2006;;;21.5;27.6;34.4;
FordFiesta 2005-;2006;4.3;;;;;
FordFiestaIV 1996-2001;2006;;;21.3;26.8;29.8;
FordFiestaV 2001-2005;2006;4.3;12;21.3;;;
FordFocus 1998-2005;2006;5.6;9.3;;;;
FordFocusSedan 2005-2008;2006;5.6;;;;;
FordGalaxy 2000-2003;2006;;17.5;21.1;;;
FordGalaxy 2003-2006;2006;11;;;;;
FordKA 1996-2002;2006;8;15.9;24.1;25.8;;
FordMondeoI 1993-2001;2006;;;16.3;25.3;30.9;
FordMondeoII 2001-2005;2006;6.6;11;;;;
FordScorpioII 1994-1998;2006;;;;26;29.5;
HondaAccord 2002-2005;2006;5.3;7;;;;
HondaAccordV 1993-1998;2006;;;13.9;19.3;24.6;
HondaCivic 2001-2003;2006;4.8;9.4;;;;
