јвтомобиль;√од ;1-3лет ;4-5лет ;6-7лет ;8-9лет ;10-11лет ;	
AlfaRomeo145 1994-1999;2007;;;25;29.7;;	
AlfaRomeo146 1994-2001;2007;;;25;29.7;;	
AlfaRomeo147 2000-2004;2007;8;11.6;;;;	
AlfaRomeo156 1997-2002;2007;;;19.1;;;	
AudiA2 2000-2005;2007;4.5;6.7;;;;	
AudiA3 1996-2003;2007;;;11.9;16.4;;	
AudiA3 2003-2005;2007;5.1;8.4;;;;	
AudiA4 1995-2000;2007;;;;24.1;26;	
AudiA4 2000-2004;2007;3.9;4.3;16.2;;;	
AudiA4 2004-2008;2007;3.9;;;;;	
AudiA6 2004-;2007;6.8;;;;;	
AudiA6Avant 1997-2004;2007;6.8;11.3;;20.8;;	
AudiA8 1994-2002;2007;;;19.6;17.1;20.3;	
AudiA8 2002-2005;2007;3.2;10.9;;;;	
AudiA8 2005-;2007;3.2;;;;;	
AudiTT 1998-2006;2007;;7.5;9.8;;;	
AudiTT 2006-;2007;5.4;;;;;	
BMW3сери€ 1990-1998;2007;;;;25;30.3;	
	BMW3сери€ 1998-2005;2007;7;14.1;17.6;;;	
BMW3сери€ 2005-;2007;7.1;;;;;	
	BMW5сери€ 1995-2003;2007;;;15.7;20.2;21.5;	
BMW5сери€ 2003-2005;2007;;10.9;;;;	
	BMW5сери€ 2005-2007;2007;6.9;;;;;	
BMW7сери€ 1994-2001;2007;;;16.8;18.1;26.6;	
	BMW7сери€ 2001-2005;2007;4.7;14.3;16.8;;;	
BMW7сери€ 2005-;2007;4.7;;;;;	
	BMWX5 2000-2006;2007;7.3;10.5;;;;	
BMWX5 2000-2006;2007;7.9;;;;;	
	BMWZ3 1995-2002;2007;;10.5;12.1;12.3;;	
BMWZ4 2002-;2007;8.4;;;;;	
ChryslerPTCruiser 2000-2006;2007;11.4;17.5;;;;	
	ChryslerPTCruiser 2006-;2007;11.4;;;;;	
ChryslerVoyager 2004-;2007;10.6;;;;;	
	ChryslerVoyagerII 1995-2000;2007;;;30.5;31;34.2;	
ChryslerVoyagerIV 2001-2004;2007;10.6;22.6;;;;	
